CVEGEO,CVE_ENT,NOMGEO,CVE,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
07047,7,Jitotol,7047,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07048,7,Juárez,7048,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07049,7,Larráinzar,7049,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07050,7,La Libertad,7050,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07051,7,Mapastepec,7051,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
07052,7,Las Margaritas,7052,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07053,7,Mazapa de Madero,7053,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07054,7,Mazatán,7054,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07055,7,Metapa,7055,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
07056,7,Mitontic,7056,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07057,7,Motozintla,7057,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07058,7,Nicolás Ruíz,7058,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07059,7,Ocosingo,7059,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07060,7,Ocotepec,7060,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07061,7,Ocozocoautla de Espinosa,7061,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07062,7,Ostuacán,7062,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07063,7,Osumacinta,7063,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07064,7,Oxchuc,7064,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4
07065,7,Palenque,7065,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07066,7,Pantelhó,7066,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07067,7,Pantepec,7067,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07068,7,Pichucalco,7068,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07069,7,Pijijiapan,7069,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07070,7,El Porvenir,7070,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07071,7,Villa Comaltitlán,7071,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07072,7,Pueblo Nuevo Solistahuacán,7072,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07073,7,Rayón,7073,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07074,7,Reforma,7074,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07075,7,Las Rosas,7075,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07076,7,Sabanilla,7076,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07077,7,Salto de Agua,7077,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07078,7,San Cristóbal de las Casas,7078,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07079,7,San Fernando,7079,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07080,7,Siltepec,7080,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07081,7,Simojovel,7081,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07082,7,Sitalá,7082,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07083,7,Socoltenango,7083,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07084,7,Solosuchiapa,7084,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07085,7,Soyaló,7085,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07086,7,Suchiapa,7086,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07087,7,Suchiate,7087,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
07088,7,Sunuapa,7088,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07089,7,Tapachula,7089,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07090,7,Tapalapa,7090,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
07091,7,Tapilula,7091,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07092,7,Tecpatán,7092,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07093,7,Tenejapa,7093,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07094,7,Teopisca,7094,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07096,7,Tila,7096,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07097,7,Tonalá,7097,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07098,7,Totolapa,7098,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07099,7,La Trinitaria,7099,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07100,7,Tumbalá,7100,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07101,7,Tuxtla Gutiérrez,7101,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07102,7,Tuxtla Chico,7102,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07103,7,Tuzantán,7103,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07104,7,Tzimol,7104,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07105,7,Unión Juárez,7105,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07106,7,Venustiano Carranza,7106,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07107,7,Villa Corzo,7107,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07108,7,Villaflores,7108,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4
07109,7,Yajalón,7109,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07110,7,San Lucas,7110,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07111,7,Zinacantán,7111,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07112,7,San Juan Cancuc,7112,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07113,7,Aldama,7113,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07114,7,Benemérito de las Américas,7114,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07115,7,Maravilla Tenejapa,7115,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07116,7,Marqués de Comillas,7116,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07117,7,Montecristo de Guerrero,7117,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07118,7,San Andrés Duraznal,7118,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07119,7,Santiago el Pinar,7119,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
07120,7,Capitán Luis Ángel Vidal,7120,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07121,7,Rincón Chamula San Pedro,7121,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07122,7,El Parral,7122,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07123,7,Emiliano Zapata,7123,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07124,7,Mezcalapa,7124,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07125,7,Honduras de la Sierra,7125,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
08001,8,Ahumada,8001,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08002,8,Aldama,8002,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08003,8,Allende,8003,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4
08004,8,Aquiles Serdán,8004,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08005,8,Ascensión,8005,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08006,8,Bachíniva,8006,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08007,8,Balleza,8007,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08008,8,Batopilas de Manuel Gómez Morín,8008,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08009,8,Bocoyna,8009,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08010,8,Buenaventura,8010,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
08011,8,Camargo,8011,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4
08012,8,Carichí,8012,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08013,8,Casas Grandes,8013,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08014,8,Coronado,8014,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4
08015,8,Coyame del Sotol,8015,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4
08016,8,La Cruz,8016,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08017,8,Cuauhtémoc,8017,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08018,8,Cusihuiriachi,8018,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08019,8,Chihuahua,8019,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08020,8,Chínipas,8020,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08021,8,Delicias,8021,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08022,8,Dr. Belisario Domínguez,8022,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08023,8,Galeana,8023,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08024,8,Santa Isabel,8024,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08025,8,Gómez Farías,8025,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
08026,8,Gran Morelos,8026,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08027,8,Guachochi,8027,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08028,8,Guadalupe,8028,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4
08029,8,Guadalupe y Calvo,8029,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08030,8,Guazapares,8030,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
08031,8,Guerrero,8031,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08032,8,Hidalgo del Parral,8032,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08033,8,Huejotitán,8033,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08034,8,Ignacio Zaragoza,8034,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
